"problem","Vampire 5.0","Vampire 5.0.1","Zipperpin 2.1.9999","E 3.5.1","Leo‑III 1.8.0","LEO‑II 1.7.0"
"SEU665^2","+0.54","+0.46","+0.97","+0.42","TMO","TMO"
"SYO324^5","+0.65","+0.51","+4.02","+0.52","TMO","+27.13"
"NUM812^5","+0.45","+0.45","+0.78","+0.43","+11.93","TMO"
"SEV254^5","+2.47","+0.75","TMO","TMO","TMO","TMO"
"ITP031^1","+0.63","+0.77","+4.89","+0.53","+4.00","GUP"
"SYO325^5","+1.35","+0.56","+4.12","+0.45","TMO","TMO"
"SEU595^1","+1.57","+0.88","+4.35","TMO","+48.11","GUP"
"CSR130^1","+0.52","+0.49","+0.91","+0.42","+3.59","+0.43"
"SEU874^5","+0.45","+0.46","+7.59","+0.43","+4.01","TMO"
"PUZ031^5","+0.49","+0.45","+0.88","+0.53","+3.13","+1.36"
"SYO064^4.002","+0.90","+0.67","+0.89","+0.49","+3.40","+0.58"
"SYO264^5","+0.63","+0.48","+1.58","+0.61","+5.28","+15.34"
"SEU785^1","+1.25","+0.82","+1.28","+0.74","TMO","GUP"
"SYN036^5","+0.64","+0.47","+0.90","+0.71","TMO","+0.61"
"ANA125^1","+0.48","+0.60","+0.80","+0.65","+3.65","GUP"
"SEV246^5","+5.12","+0.52","+9.57","+0.69","TMO","TMO"
"SEU644^1","+0.65","+0.75","+1.05","+0.57","+7.37","GUP"
"SYO180^5","+0.48","+0.42","+0.83","+0.75","+3.52","GUP"
"SEU745^1","+0.89","+0.84","+15.32","+0.84","TMO","GUP"
"SEV244^6","+8.80","+0.56","+12.11","+0.46","TMO","TMO"
"NUM418^1","+0.47","+0.50","+0.68","+0.50","+2.38","TMO"
"SYO387^5","+0.47","+0.55","+1.16","+0.47","+2.59","+1.30"
"ITP166^1","+0.66","+0.54","+1.93","+0.53","+9.73","GUP"
"SYO169^5","+0.43","+0.36","+1.06","+0.41","+2.30","+0.48"
"SEU642^1","+0.69","+0.57","+1.01","+18.76","+61.67","GUP"
"NUM665^1","+0.39","+0.45","+0.76","+0.60","+2.29","+52.07"
"SEU576^1","+0.59","+0.54","+0.81","+0.45","+4.44","GUP"
"SEV252^5","+9.04","+0.55","+11.57","+0.44","TMO","TMO"
"SEU463^1","+0.45","+0.53","+3.57","+0.43","+3.36","GUP"
"PUZ047^5","+0.56","+0.48","+0.73","+0.49","+2.52","+0.74"
"QUA004^1","+0.41","+0.45","+0.70","+0.41","+1.93","+33.11"
"SYO527^1","+0.40","+0.45","+0.72","+0.45","+2.28","+0.36"
"NUM925^2","+0.75","+0.64","+1.35","+0.90","+5.33","GUP"
"SYO386^5","+0.44","+0.44","+0.92","+0.42","+2.44","+0.76"
"SEU876^5","+0.47","+0.84","+47.86","TMO","TMO","TMO"
"SEV085^5","+0.40","+0.53","+13.07","+0.43","UNK","TMO"
"ALG268^2","+0.58","+0.76","+4.87","+0.58","+3.63","+2.69"
"SYO388^5","+0.44","+0.46","+1.10","+0.34","+1.59","+3.19"
"SYO064^4.001","+0.44","+0.51","+0.81","+0.49","+3.31","+0.40"
"NUM791^1","+0.39","+0.48","+0.67","+0.43","+3.28","GUP"
"AGT028^1","+0.51","+0.52","+1.02","+0.46","+3.22","+0.96"
"SYO018^1","+0.40","+0.57","+0.73","+0.40","+2.34","+0.38"
"SEU720^1","+0.74","+1.00","+1.19","TMO","+114.53","GUP"
"SEV084^5","+0.43","+0.45","+1.41","+0.44","+2.44","GUP"
"DAT056^1","+0.49","+0.36","+1.04","+0.41","+2.59","+0.40"
"SYO560^1","+6.23","+1.15","+0.82","+0.40","+4.27","TMO"
"SEV037^5","+0.50","+0.70","+2.01","TMO","+9.06","TMO"
"SYO376^5","+0.48","+0.46","+0.83","+0.56","+2.77","+0.56"
"ITP200^1","+0.71","+0.46","+3.96","+0.60","TMO","GUP"
"SEV243^5","+6.46","+0.64","+11.03","+0.43","TMO","TMO"
"CSR146^2","+1.28","+0.62","+4.06","+0.53","+7.67","TMO"
"NUM762^1","+0.41","+0.51","+0.55","+0.54","+3.73","GUP"
"SEU574^1","+1.39","+1.89","+9.07","+2.12","TMO","GUP"
"NUM016^5","+0.39","+0.51","+0.54","+0.41","+2.33","+0.43"
"SWV436^4","+0.54","+0.59","+2.50","+0.42","+17.71","+0.49"
"SEV058^5","+0.55","+0.44","+4.29","+0.54","+2.62","+6.67"
"ITP189^1","+0.67","+0.60","+3.56","+0.78","+7.16","GUP"
"CSR131^1","+0.67","+0.59","+1.06","+0.43","+5.88","TMO"
"ITP175^1","+0.53","+0.60","+0.87","+0.83","TMO","GUP"
"CSR134^1","+0.44","+0.50","+0.84","+0.56","+5.33","TMO"
"ITP139^1","+0.62","+0.61","+1.76","+0.82","TMO","GUP"
"SEV382^5","+0.41","+0.36","+2.31","+0.58","+3.20","+0.70"
"CSR137^2","+0.46","+0.52","+1.09","+0.34","TMO","+0.48"
"SYO114^5","+0.48","+0.54","+0.82","+0.47","+2.83","+0.38"
"MSC025^2","+0.43","+0.57","+0.77","+17.72","+3.90","GUP"
"NUM754^1","+0.45","+0.46","+0.94","+0.44","+2.23","+0.48"
"SEU709^1","+1.69","+0.99","+1.82","+0.90","TMO","GUP"
"CSR144^1","+0.40","+0.56","+0.96","+0.41","+3.61","TMO"
"SET646^3","+0.78","+0.47","+0.76","+0.41","+2.03","GUP"
"PUZ094^5","+0.37","+0.46","+0.93","+0.43","+3.32","+0.89"
"LCL873^1","+0.65","+0.54","+1.13","+0.63","+2.73","+0.52"
"SEV055^5","+0.45","+0.43","+0.73","+0.41","+3.12","+27.20"
"ALG280^5","+0.41","+0.44","+0.97","+0.42","+2.27","+0.38"
"SEV162^5","+0.42","+0.56","+0.81","+0.41","+2.91","+0.64"
"SEU766^1","+0.80","+0.99","+1.70","+1.15","TMO","GUP"
"MSC020^5","+0.42","+0.67","+0.96","+0.43","TMO","TMO"
"SYO543^1","+0.50","+0.44","+0.79","+0.40","+1.35","GUP"
"SYO374^5","+0.47","+0.44","+0.92","+0.49","+2.54","+0.45"
"SEV273^5","+0.54","+0.55","+0.86","+0.34","+2.40","+0.54"
"SEV066^5","+0.46","+0.48","+7.91","+0.57","TMO","GUP"
"ITP010^2","+0.41","+0.45","+0.74","+0.42","+2.48","GUP"
"SEV153^5","+1.43","+1.71","+8.40","TMO","TMO","GUP"
"SYO241^5","+0.43","+0.54","+0.96","+0.34","+6.70","GUP"
"SEV152^5","+2.15","+1.89","+7.40","TMO","TMO","TMO"
"SEU596^1","+24.35","+0.74","+0.93","+18.02","+6.62","GUP"
"SYO514^1","+0.41","+0.47","+0.76","+0.49","TMO","+0.47"
"SYO038^1.003.003","+0.96","+0.55","+0.86","+0.61","+3.12","+0.49"
"SYO174^5","+0.45","+0.50","+10.26","TMO","TMO","TMO"
"QUA006^1","+0.69","+0.49","+1.07","+0.68","+5.34","+64.56"
"SEV064^5","+0.41","+0.44","+7.58","+0.87","TMO","GUP"
"SYO545^1","+1.01","+0.59","+4.07","+0.42","+38.32","TMO"
"SYO173^5","+0.58","+0.73","+1.09","+0.49","+2.29","+0.45"
"SEU692^1","+1.06","+0.92","+10.09","+20.03","TMO","GUP"
"SYO548^1","+0.62","+1.12","+1.38","GUP","+2.59","TMO"
"ALG279^5","+0.53","+0.46","+1.10","+0.43","+2.25","+0.38"
"SEV100^5","+0.50","+0.54","+9.55","+0.72","TMO","GUP"
"ITP173^1","+0.68","+0.88","+1.24","+0.63","TMO","GUP"
"SEV155^5","+0.76","+0.91","+7.03","TMO","TMO","TMO"
"SYO448^1","+0.49","+0.46","+1.06","+0.48","+3.18","+0.48"
"SYO287^5","+0.35","+0.66","+0.88","GUP","+2.27","TMO"
"ITP140^1","+0.65","+0.56","+1.42","+0.53","+4.38","GUP"
"SEU948^5","+1.51","+2.18","+162.89","+0.55","+69.39","TMO"
"ITP163^1","+0.53","+0.61","+1.39","+0.49","+24.42","GUP"
"LCL728^5","+1.65","+2.81","+56.26","TMO","TMO","TMO"
"ITP034^1","+0.58","+0.66","+1.02","+0.50","+5.44","GUP"
"GRA072^2","TMO","TMO","TMO","+1.99","TMO","TMO"
"ITP174^1","+0.68","+0.90","+1.20","+0.59","TMO","GUP"
"GRA046^2","TMO","TMO","TMO","+75.36","TMO","TMO"
"AGT033^1","+0.76","+0.61","+1.00","+0.58","+2.99","+0.74"
"GRA048^2","TMO","TMO","TMO","+74.86","TMO","TMO"
"SEU765^1","+5.08","+1.45","+2.70","+19.78","TMO","GUP"
"GRA039^1","TMO","TMO","TMO","+56.31","TMO","TMO"
"ITP134^1","+0.99","+0.79","+75.03","TMO","TMO","GUP"
"GRA048^1","TMO","TMO","TMO","+74.86","TMO","TMO"
"CSR134^2","+0.54","+0.50","+1.10","+0.37","+10.37","+92.39"
"GRA039^2","TMO","TMO","TMO","+0.81","TMO","TMO"
"SEU457^1","+0.48","+0.46","+0.89","+0.49","+2.53","GUP"
"GRA050^1","TMO","TMO","TMO","+74.92","TMO","TMO"
"ITP123^1","+0.71","+0.55","+1.73","+0.48","+15.19","TMO"
"GRA055^2","TMO","TMO","TMO","+74.85","TMO","TMO"
"SYN393^4.002","+0.50","+0.95","+1.38","+146.68","TMO","TMO"
"GRA067^2","TMO","TMO","TMO","+1.87","TMO","TMO"
"SEU577^1","+0.44","+0.55","+1.26","180.00","+2.31","GUP"
"GRA063^2","TMO","TMO","TMO","+1.10","TMO","TMO"
"ITP033^1","+0.60","+0.60","+2.47","+0.54","+17.36","GUP"
"GRA065^2","TMO","TMO","TMO","+1.11","TMO","TMO"
"NUM636^2","+0.47","+0.35","+0.88","+0.52","+7.23","TMO"
"GRA034^1","TMO","TMO","TMO","+56.81","TMO","TMO"
"ITP094^1","+0.55","+0.80","+1.21","+0.64","+39.31","GUP"
"GRA052^2","TMO","TMO","TMO","+75.03","TMO","TMO"
"ITP160^1","+0.72","+0.79","+1.54","+0.67","TMO","GUP"
"GRA055^1","TMO","TMO","TMO","+74.76","TMO","TMO"
"SEV300^5","+0.55","+0.46","+9.19","+0.54","+3.93","GUP"
"GRA044^1","TMO","TMO","TMO","+56.19","TMO","TMO"
"ITP142^1","+0.70","+0.70","+4.67","+0.79","+5.88","GUP"
"GRA034^2","TMO","TMO","TMO","+0.67","TMO","TMO"
"ITP169^1","+0.43","+0.62","+15.34","+0.68","+9.26","GUP"
"SYO334^5","+0.46","+0.35","+1.11","+0.49","+5.36","+0.46"
"SEU611^2","+0.47","+0.44","+0.74","+0.53","+2.35","TMO"
"SEU939^5","+17.94","+33.30","+21.48","+88.35","TMO","TMO"
"ITP018^1","+0.49","+0.46","+0.71","+0.50","+4.90","+8.64"
"SYO288^5","+0.41","+0.52","+0.76","GUP","+2.34","TMO"
"SYO025^1","+0.42","+0.44","+0.76","+0.49","+2.30","GUP"
"SYO269^5","+10.25","TMO","+10.66","+14.64","TMO","TMO"
"SEU523^1","+0.71","+0.45","+1.15","+0.45","+4.05","GUP"
"GRA027^1","TMO","TMO","TMO","GUP","TMO","TMO"
"SET672^3","+0.39","+0.45","+1.00","+0.41","+2.57","GUP"
"SYO309^5","+0.51","+0.56","+1.88","+0.43","+4.85","GUP"
"SEU875^5","+0.48","+0.44","+5.11","+0.51","+8.43","TMO"
"SYO209^5","+0.51","+0.51","+27.31","GUP","+7.81","GUP"
"QUA012^1","+1.04","+0.59","+1.45","+0.45","+5.75","+76.19"
"GRA028^1","+1.14","+0.66","+23.47","+1.97","TMO","TMO"
"SEU630^2","+0.45","+0.43","+0.85","+0.43","+26.44","TMO"
"SEV050^5","+12.46","TMO","+94.19","GUP","TMO","TMO"
"NUM926^1","+0.46","+0.49","+2.01","+0.51","+14.60","GUP"
"SEV071^5","TMO","TMO","TMO","GUP","TMO","TMO"
"SWX177^1*","+0.49","+0.39","+10.33","+0.90","+153.77","GUP"
"SEU940^5","+0.45","+0.59","+0.72","+0.47","+3.96","TMO"
"SWX159^1*","+0.85","+0.93","+2.76","+0.80","TMO","GUP"
"SEV113^5","TMO","TMO","TMO","TMO","TMO","TMO"
"SWX173^1*","+0.48","+0.43","+7.32","+1.08","+34.12","GUP"
"SEV072^5","+1.28","+0.37","+145.69","GUP","TMO","TMO"
"SWX174^1*","+0.42","+0.54","+6.19","+2.04","TMO","GUP"
"SEV317^5","+5.05","+8.92","+14.65","+26.77","TMO","TMO"
"SEU494^1","+0.43","+0.51","+0.75","+0.55","+2.34","GUP"
"SYO338^5","+55.61","+5.30","+115.43","+28.41","TMO","TMO"
"SEU733^1","+1.08","+1.13","+5.04","+0.60","TMO","GUP"
"SYO329^5","+1.75","+7.92","TMO","GUP","TMO","TMO"
"SEV108^5","+23.22","+5.61","TMO","TMO","TMO","+70.89"
"SEV414^5","TMO","TMO","TMO","GUP","TMO","TMO"
"SEU649^2","+0.58","+0.49","+0.94","+0.48","+2.36","+3.53"
"SYO332^5","+2.12","+2.74","+44.27","TMO","TMO","TMO"
"SEU497^1","+0.38","+0.45","+0.70","+0.44","+3.49","GUP"
"SYO330^5","+9.51","+2.71","+9.61","+0.58","TMO","TMO"
"SEU673^1","+1.33","+22.41","+8.82","+0.72","TMO","GUP"
"SEV321^5","TMO","+67.33","TMO","+5.91","TMO","TMO"
"SET615^3","+0.49","+0.42","+0.86","+0.42","+1.45","GUP"
"GRA074^2","TMO","TMO","TMO","+1.49","TMO","TMO"
"ITP080^1","+12.31","+9.21","+6.35","+0.79","+14.16","GUP"
"GRA032^2","TMO","TMO","TMO","+0.63","TMO","TMO"
"SEU705^2","+0.57","+1.85","+1.12","+0.43","+2.51","GUP"
"GRA029^2","TMO","TMO","TMO","GUP","TMO","TMO"
"NUM926^2","+1.97","+1.27","+4.77","+0.97","TMO","GUP"
"SYO533^1","+0.94","+168.73","+42.01","GUP","TMO","TMO"
"SEU524^1","+2.22","+0.85","+0.98","+0.46","+4.20","GUP"
"SYO326^5","TMO","TMO","TMO","TMO","TMO","TMO"
"AGT034^2","+0.54","+0.70","+1.54","+0.51","+2.95","+0.55"
"SEV305^6","TMO","TMO","TMO","TMO","TMO","TMO"
"AGT037^1","+0.48","+0.62","+0.96","+0.60","+3.64","+0.61"
"SYO509^1","+0.95","TMO","+41.89","GUP","TMO","TMO"
"SET671^3","+0.50","+0.57","+0.76","+0.34","+3.63","GUP"
"SEV068^5","TMO","TMO","TMO","TMO","TMO","TMO"
"SEV208^5","+5.43","+6.37","+11.20","+0.57","TMO","TMO"
"GRA043^2","TMO","TMO","TMO","+75.12","TMO","TMO"
"SEU803^1","+7.55","+1.29","+1.14","+1.42","TMO","GUP"
"SEV305^5","TMO","TMO","TMO","TMO","TMO","TMO"
"SET752^4","+0.40","+0.47","+0.77","+0.33","+4.87","GUP"
"SEV069^6","TMO","TMO","TMO","TMO","TMO","TMO"
"ALG262^2","+0.63","+1.66","+0.82","+0.47","+2.59","+10.67"
"SYO275^5","+3.94","TMO","TMO","TMO","TMO","TMO"
"SEU713^1","+0.94","+1.61","+1.06","+0.89","TMO","GUP"
"NUM817^5","+0.42","+0.43","+1.03","+0.55","+3.38","TMO"
"SEV267^5","+3.45","+3.83","+7.57","+0.50","TMO","TMO"
"SWW474^2","+8.04","+1.10","+5.67","+0.90","+9.08","GUP"
"ITP054^1","+3.15","+1.10","+4.65","+9.41","+37.39","GUP"
"SEV129^5","+0.52","+0.45","+91.29","+0.42","TMO","+1.62"
"ITP152^1","+0.67","+0.44","+1.94","+0.54","TMO","GUP"
